VendorName,SectionName,ControlName,SecurityQuestions,SolutionResponse,SolutionComments,Most Relevant Responses,Keywords for Most Relevant
BioReference,Vendor Profile,Vendor Profile,Does VENDOR NAME have a designated leader responsible for information security?,Yes,,,
BioReference,Vendor Profile,Vendor Profile,Name of Information Security leader?,Daniel Berlinger,,,
BioReference,Vendor Profile,Vendor Profile,Title,VP of Technology and Chief Security Officer,,,
BioReference,Vendor Profile,Vendor Profile,Role,VP of Technology and Chief Security Officer,,,
BioReference,Vendor Profile,Vendor Profile,Does VENDOR NAME employ an information security team? ,Yes,,,
BioReference,Vendor Profile,Vendor Profile, Number of full-time information security personnel?,4,,,
BioReference,Vendor Profile,Vendor Profile,Does VENDOR NAME employ an incident response officer? ,No,,,
BioReference,Vendor Profile,Vendor Profile,Name of incident response officer?,N/A,,,
BioReference,Vendor Profile,Vendor Profile,Title,N/A,,,
BioReference,Vendor Profile,Vendor Profile,Email,N/A,,,
BioReference,Vendor Profile,Vendor Profile,Phone,N/A,,,
BioReference,Vendor Profile,Vendor Profile,"Does VENDOR NAME outsource information security functions to a third party? If yes, please provide the name and scope of services provided in the comments section.",Yes,Prognos stores all PHI in the cloud (AWS) with a security and compliance  layer provided by CLEARData.  ,,
BioReference,Vendor Profile,Vendor Profile,"Does VENDOR maintain cyber liability insurance in addition to general liability insurance? If Yes, please explain how much in the comments section.",Yes,$5 million,,
BioReference,Vendor Profile,Vendor Profile,Does VENDOR NAME have any employees or physical office locations outside of the United States?,No,Prognos has no employees or offices outside of the US.  We do have a contractor based in Bangalore but employees of the contractor have no access to PHI,,
BioReference,Vendor Profile,Vendor Profile,"Is any Blue Health Intelligence data accessed, transmitted, or stored outside of the United States?",No,,,
BioReference,Vendor Profile,Vendor Profile,What year was VENDOR NAME founded?,2010,,,
BioReference,Vendor Profile,Vendor Profile,Approximately how many people does VENDOR NAME employ?,58,,,
BioReference,Vendor Profile,Vendor Profile,"Has VENDOR NAME ever experienced a data breach?  If so, please explain in the comments section.",No,,,
