VendorName,SectionName,ContrrolName,SecurityQuestions,SolutionResponse,SolutionComments,Most Relevant Responses,Keywords for Most Relevant
Highmark Health,New Request,New Request," VRA 50.0 - Are users who access electronic information required to authenticate using a
unique user name and password?",Yes,,,
Highmark Health,New Request,New Request,"VRA 51.0 - Are logs generated for applications that access, store and/or process our company's data?",Yes,,,
Highmark Health,New Request,New Request,"VRA 51.1 - Can logs be shared for applications that access, store and/or process our company's data?",Yes,,,
Highmark Health,New Request,New Request,"VRA 52.0 - Are reports of user authentication to systems available which include a date and time stamp
indicator?",Yes,,,
Highmark Health,New Request,New Request,VRA 53.0 - Is password reset authority restricted to authorized individuals?,Yes,,,
Highmark Health,New Request,New Request,"VRA 54.0 - Please identify the processes available for a user to reset or unlock user access accounts or
passwords.", Help desk,,,
Highmark Health,New Request,New Request,"VRA 55.0 - Do authentication procedures enforce the use of strong passwords and prevent password re-
use?",Yes,,,
Highmark Health,New Request,New Request,"VRA 56.0 - Along with a user’s password, are multi-factor authentication mechanisms used where our
data can be accessed, processed and/or stored in your environment (e.g., token, biometric)?",Yes,,,
Highmark Health,New Request,New Request,"VRA 57.0 - Are remote access (Virtual Private Network (VPN)) utilities configured for at least two-factor
authentication?",Yes,,,
Highmark Health,New Request,New Request,"VRA 57.1 - Does VPN authentication enforce unique usernames, passwords, and workstation connection
encryption?",Yes,,,
Highmark Health,New Request,New Request,VRA 58.0 - Are user IDs locked-out after 3 to 5 failed access attempts?,Yes,,,
Highmark Health,New Request,New Request,VRA 58.1 - Is a systems administrator required to unlock the user account and / or reset the password?,Yes,,,
Highmark Health,New Request,New Request,"VRA 59.0 - Are user access accounts used by third party vendors / sub-contractors enabled only during
the time needed?",Yes,,,
Highmark Health,New Request,New Request,VRA 59.1 - Are user access accounts configured to automatically expire?,Yes,,,
Highmark Health,New Request,New Request,"VRA 60.0 - Is access to all electronic information immediately revoked from employees, temporary
workers, and contractors upon termination?",Yes,,,
Highmark Health,New Request,New Request,"VRA 61.0 - Does your organization allow end users who are not IT administrators to install and execute
software on their workstations (e.g., Laptop, PC, Server)?",Yes,,,
