,question,response,additionalComment
0,"Does your company utilize third parties (Aetna fourth party) that may have access to Aetna data, directly or indirectly?",,
1,TP1.1 Provide the name of a critical third party service provider (Aetna fourth party).,,
2,"TP1.2 Provide address of Aetna fourth party: Street, City, State and Zip Code.",,
3,TP1.3 Are services and/or resources located offshore?,,
4,"TP1.3.1 Provide offshore location details: Street, City, State/Province, and Country.",,
5,TP1.3.1.1 Are resources located offshore in a clean room environment when accessing Aetna data?,,
6,TP1.4 Provide fourth party URL,,
7,"TP1.5 Provide contact information for the fourth party: Name, phone number, and email.",,
8,TP1.6 Provide a description of Services provided by fourth party.,,
9,TP1.7 Provide a listing of Aetna data elements the fourth party has access to or processes.,,
10,TP1.8 Provide your risk ranking from your assessment of the fourth party.,,
11,TP1.9 Upon completion of your assessment were any findings or remediation items identified?,,
12,TP1.10 Do you have a second critical third party (Aetna fourth party) not previously mentioned?,,
13,TP2.1 Provide the name of a critical third party service provider (Aetna fourth party).,,
14,"TP2.2 Provide address of Aetna fourth party: Street, City, State and Zip Code.",,
15,TP2.3 Are services and/or resources located offshore?,,
16,"TP2.3.1 Provide offshore location details: Street, City, State/Province, and Country.",,
17,TP2.3.1.1 Are resources located offshore in a clean room environment when accessing Aetna data?,,
18,TP2.4 Provide fourth party URL,,
19,"TP2.5 Provide contact information for the fourth party: Name, phone number, and email.",,
20,TP2.6 Provide a description of Services provided by fourth party.,,
21,TP2.7 Provide a listing of Aetna data elements the fourth party has access to or processes.,,
22,TP2.8 Provide your risk ranking from your assessment of the fourth party.,,
23,TP2.9 Upon completion of your assessment were any findings or remediation items identified?,,
24,TP2.10 Do you have a third critical third party (Aetna fourth party) not previously mentioned?,,
25,TP3.1 Provide the name of a critical third party service provider (Aetna fourth party).,,
26,"TP3.2 Provide address of Aetna fourth party: Street, City, State and Zip Code.",,
27,TP3.3 Are services and/or resources located offshore?,,
28,"TP3.3.1 Provide offshore location details: Street, City, State/Province, and Country.",,
29,TP3.3.1.1 Are resources located offshore in a clean room environment when accessing Aetna data?,,
30,TP3.4 Provide fourth party URL,,
31,"TP3.5 Provide contact information for the fourth party: Name, phone number, and email.",,
32,TP3.6 Provide a description of Services provided by fourth party.,,
33,TP3.7 Provide a listing of Aetna data elements the fourth party has access to or processes.,,
34,TP3.8 Provide your risk ranking from your assessment of the fourth party.,,
35,TP3.9 Upon completion of your assessment were any findings or remediation items identified?,,
36,TP3.10 Do you have a fourth critical third party (Aetna fourth party) not previously mentioned?,,
37,TP4.1 Provide the name of a critical third party service provider (Aetna fourth party).,,
38,"TP4.2 Provide address of Aetna fourth party: Street, City, State and Zip Code.",,
39,TP4.3 Are services and/or resources located offshore?,,
40,"TP4.3.1 Provide offshore location details: Street, City, State/Province, and Country.",,
41,TP4.3.1.1 Are resources located offshore in a clean room environment when accessing Aetna data?,,
42,TP4.4 Provide fourth party URL,,
43,"TP4.5 Provide contact information for the fourth party: Name, phone number, and email.",,
44,TP4.6 Provide a description of Services provided by fourth party.,,
45,TP4.7 Provide a listing of Aetna data elements the fourth party has access to or processes.,,
46,TP4.8 Provide your risk ranking from your assessment of the fourth party.,,
47,TP4.9 Upon completion of your assessment were any findings or remediation items identified?,,
48,TP4.10 Do you have a fifth critical third party (Aetna fourth party) not previously mentioned?,,
49,TP5.1 Provide the name of a critical third party service provider (Aetna fourth party).,,
50,"TP5.2 Provide address of Aetna fourth party: Street, City, State and Zip Code.",,
51,TP5.3 Are services and/or resources located offshore?,,
52,"TP5.3.1 Provide offshore location details: Street, City, State/Province, and Country.",,
53,TP5.3.1.1 Are resources located offshore in a clean room environment when accessing Aetna data?,,
54,TP5.4 Provide fourth party URL,,
55,"TP5.5 Provide contact information for the fourth party: Name, phone number, and email.",,
56,TP5.6 Provide a description of Services provided by fourth party.,,
57,TP5.7 Provide a listing of Aetna data elements the fourth party has access to or processes.,,
58,TP5.8 Provide your risk ranking from your assessment of the fourth party.,,
59,TP5.9 Upon completion of your assessment were any findings or remediation items identified?,,
60,"TP5.10 Do you have additional critical third parties?If so, please select Yes and use the artifact link below to provide a list of the third parties and the descriptive information previously collected for each third party.",,
61,"Please select ""Yes"" to confirm, your company represents and warrants that you do not work with additional Third Parties with direct access to Aetna data.",,
62,"Does your company represent and warrant that your Third Parties with direct access to Aetna data have completed an assessment substantially similar to this assessment (SOC and BAA documents are not sufficient), acknowledging and confirming their compliance with the same or more stringent security requirements? (Note: This includes anti-bribery and anti-money laundering policies and standards.)",,
63,"Q1: Does your company store Aetna information in any cloud based service (Internal or External) or storage (i.e. AWS, Microsoft Azure, etc)?",,
64,Q2: What cloud storage solution does your company use?,,
65,Q2 A: What cloud storage solution is used?,,
