VendorName,SectionName,ControlName,SecurityQuestions,SolutionResponse,SolutionComments,Most Relevant Responses,Keywords for Most Relevant
BioReference,BASIC APPLICATION/SYSTEM INFORMATION,BASIC APPLICATION/SYSTEM INFORMATION,1. Company name:,Prognos Health Inc.,,,
BioReference,BASIC APPLICATION/SYSTEM INFORMATION,BASIC APPLICATION/SYSTEM INFORMATION,"2. Primary point of contact (name, phone, email):","Mark Reis VP Business Development, Lab Markets",,,
BioReference,BASIC APPLICATION/SYSTEM INFORMATION,BASIC APPLICATION/SYSTEM INFORMATION,3. Application name:,Opal De-Identification Software,,,
BioReference,BASIC APPLICATION/SYSTEM INFORMATION,BASIC APPLICATION/SYSTEM INFORMATION,4. Description of application:,De-Identification of all PHI and PII,,,
BioReference,BASIC APPLICATION/SYSTEM INFORMATION,BASIC APPLICATION/SYSTEM INFORMATION,5. Who will use the application?,Bioreference IT Staff,,,
BioReference,BASIC APPLICATION/SYSTEM INFORMATION,BASIC APPLICATION/SYSTEM INFORMATION,6. Operating system and version:,Data Dictionary v2.2 Multiple OS supported ,,,
BioReference,BASIC APPLICATION/SYSTEM INFORMATION,BASIC APPLICATION/SYSTEM INFORMATION,7. Database type/versions supported:,Flexible ,,,
BioReference,BASIC APPLICATION/SYSTEM INFORMATION,BASIC APPLICATION/SYSTEM INFORMATION,8. Database type/version in which application is developed:,"It’s not a database based application, it’s developed in Go, a general language.",,,
BioReference,BASIC APPLICATION/SYSTEM INFORMATION,BASIC APPLICATION/SYSTEM INFORMATION,9. Server requirements (if local hosting):,"250 HDD, 16GB RAM, 4 CORE PROCESSOR",,,
BioReference,BASIC APPLICATION/SYSTEM INFORMATION,BASIC APPLICATION/SYSTEM INFORMATION,10. Networking requirement,None,,,
BioReference,BASIC APPLICATION/SYSTEM INFORMATION,BASIC APPLICATION/SYSTEM INFORMATION,19. Web browser requirements:,None,,,
BioReference,BASIC APPLICATION/SYSTEM INFORMATION,BASIC APPLICATION/SYSTEM INFORMATION,20. Other system requirements:,JAVA for ALT engine operation ,,,
