VendorName,SectionName,ContrrolName,SecurityQuestions,SolutionResponse,SolutionComments,Most Relevant Responses,Keywords for Most Relevant
CORL,Vendor Profile,Vendor Profile,Does VENDOR NAME have a designated leader responsible for information security?,Yes,,,
CORL,Vendor Profile,Vendor Profile,Name of Information Security leader?,Daniel Berlinger,,,
CORL,Vendor Profile,Vendor Profile,Title,VP of Technology and Chief Security Officer,,,
CORL,Vendor Profile,Vendor Profile,Role,VP of Technology and Chief Security Officer,,,
CORL,Vendor Profile,Vendor Profile,Does VENDOR NAME employ an information security team? ,Yes,,,
CORL,Vendor Profile,Vendor Profile, Number of full-time information security personnel?,4,,,
CORL,Vendor Profile,Vendor Profile,Does VENDOR NAME employ an incident response officer? ,No,,,
CORL,Vendor Profile,Vendor Profile,Name of incident response officer?,N/A,,,
CORL,Vendor Profile,Vendor Profile,Title,N/A,,,
CORL,Vendor Profile,Vendor Profile,Email,N/A,,,
CORL,Vendor Profile,Vendor Profile,Phone,N/A,,,
CORL,Vendor Profile,Vendor Profile,"Does VENDOR NAME outsource information security functions to a third party? If yes, please provide the name and scope of services provided in the comments section.",Yes,Prognos stores all PHI in the cloud (AWS) with a security and compliance  layer provided by CLEARData.  ,,
CORL,Vendor Profile,Vendor Profile,"Does VENDOR maintain cyber liability insurance in addition to general liability insurance? If Yes, please explain how much in the comments section.",Yes,$5 million,,
CORL,Vendor Profile,Vendor Profile,Does VENDOR NAME have any employees or physical office locations outside of the United States?,No,Prognos has no employees or offices outside of the US.  We do have a contractor based in Bangalore but employees of the contractor have no access to PHI,,
CORL,Vendor Profile,Vendor Profile,"Is any Blue Health Intelligence data accessed, transmitted, or stored outside of the United States?",No,,,
CORL,Vendor Profile,Vendor Profile,What year was VENDOR NAME founded?,2010,,,
CORL,Vendor Profile,Vendor Profile,Approximately how many people does VENDOR NAME employ?,58,,,
CORL,Vendor Profile,Vendor Profile,"Has VENDOR NAME ever experienced a data breach?  If so, please explain in the comments section.",No,,,
CORL,Vendor Profile,Vendor Profile,Is there a current BAA in place?,No,,,
CORL,Vendor Profile,Vendor Profile,"Does VENDOR NAME utilize any subcontractors with access Blue Health Intelligence data? If yes, please provide the name of the subcontractor(s) in the comments section.",No,,,
CORL,Vendor Profile,Vendor Profile,"Please describe how your organization obtains data from Blue Health Intelligence. Include file type(s) and the medium(s) utilized to transmit the data (e.g., SFTP, Encrypted email).",SFTP,,,
CORL,Required Evidence,Account Management,"Provide Policy and procedures for managing accounts, including - creating, modifying, monitoring, and deleteing/disabling accounts.",,Please see "Prognos Policy - System Access",,
CORL,Required Evidence,Remote Access,Provide policy and procedure for remote access,,Please see "Prognos SOP - Virtual Clean Room",,
CORL,Required Evidence,Wireless Access,Provide Wireless Access Policy and Procedures,,Please see "Prognos SOP - Virtual Clean Room",,
