VendorName,SectionName,ContrrolName,SecurityQuestions,SolutionResponse,SolutionComments,Most Relevant Responses,Keywords for Most Relevant
Highmark Health,New Request,New Request,Who? Please enter the name of your company: ,Prognos Health Inc.,,,
Highmark Health,New Request,New Request,Who? Please provide the name(s) and job title(s) of the individual(s) responsible for completing this assessment:,"Hilary Weckstein, General Counsel & Chief Privacy Officer
Daniel Berlinger, Head of Technology & Chief Security Officer
Aviral Srivastava, Information Security Manager
Pavan Kumar, Engineering Manager",,,
Highmark Health,New Request,New Request,VRA 1.1 - Are these information security job position risk designations reviewed at least every 12 months? ,Yes,,,
Highmark Health,New Request,New Request,VRA 1.1.1 - Is there a plan to review information security job position risk designations at least every 12 months or implement a process to verify these risk designations remain accurate? ,Yes,,,
Highmark Health,New Request,New Request,VRA 1.2 - Please specify how often information security job positions and risk designations are reviewed over a 12 month period. ,Anually,,,
Highmark Health,New Request,New Request,VRA 2.0 - Are job positions with information security roles and responsibilities reviewed by Human Resources and communicated to job candidates? ,Yes,,,
Highmark Health,New Request,New Request,VRA 2.1 - Please explain method of communication to job candidates: ,Post Job description; part of interview process,,,
Highmark Health,New Request,New Request,VRA 3.0 - Are job applicants required to complete an I-9 form?,"Yes,Only confirmed hires complete I-9s as per Federal law. ",,,
Highmark Health,New Request,New Request,VRA 3.0.1 - Why do job applicants not complete at I-9 form? How does your organization obtain job applicant Employment Eligibility Verification information? Please explain. ,Only confirmed hires complete I-9s as per Federal law. ,,,
Highmark Health,New Request,New Request,"VRA 4.0 - Do Human Resource (HR) policies require criminal background checks and other security or clearance screenings of employees, contractors, and temporary workers to be completed prior to start ",Yes,,,
Highmark Health,New Request,New Request,VRA 4.1 - Are HR policies that require criminal background checks and other security or clearance screenings reviewed and re-affirmed at least annually by management? ,Yes,,,
Highmark Health,New Request,New Request,"VRA 5.0 - Are HR procedures documented which define background check criteria, explain why background checks are performed, and specify who is eligible to screen and perform background checks? ",Yes,,,
Highmark Health,New Request,New Request,"VRA 6.0 - Prior to employment start date, are background checks performed on all candidates? ",Yes,,,
