VendorName,SectionName,Contrrol Name,SecurityQuestions,SolutionResponse,SolutionComments,Most Relevant Responses,Keywords for Most Relevant
SIG Lite,Business Information,Business Information,Assessee Name,Daniel Berlinger,,,
SIG Lite,Business Information,Business Information,Assessee Job Title,"Chief Security Officer, Head of Technology",,,
SIG Lite,Business Information,Business Information,Assessee Contact Information,dberlinger@prognos.ai,,,
SIG Lite,Business Information,Business Information,Names and titles/functions of individuals who contributed to this questionnaire,"CSO, CPO, Information Security Manager, Principal Engineer - Payer",,,
SIG Lite,Business Information,Business Information,Date of Response,43649,,,
SIG Lite,Business Information,Business Information,Name of the holding or parent company,N/A,,,
SIG Lite,Business Information,Business Information,Company/business name,Prognos Health Inc.,,,
SIG Lite,Business Information,Business Information,Publicly or privately held company,Privately held,,,
SIG Lite,Business Information,Business Information,"If public, what is the name of the Exchange",N/A,,,
SIG Lite,Business Information,Business Information,"If public, what is the trading symbol",N/A,,,
SIG Lite,Business Information,Business Information,Type of legal entity and state of incorporation,Delaware corporation,,,
SIG Lite,Business Information,Business Information,How long has the company been in business,Formed in 2010,,,
SIG Lite,Business Information,Business Information,Are there any material claims or judgments against the company,No,,,
SIG Lite,Business Information,Business Information,"If yes, describe the impact it may have on the services in scope of this document",N/A,,,
SIG Lite,Business Information,Business Information,Has your company suffered a data loss or security breach within the last 3 years?,No,,,
SIG Lite,Business Information,Business Information,"If yes, please describe the loss or breach.",N/A,,,
SIG Lite,Business Information,Business Information,Has any of your Third Party Vendors suffered a data loss or security breach within the last 3 years?,No,,,
SIG Lite,Business Information,Business Information,"If yes, please describe the loss or breach.",N/A,,,
SIG Lite,Business Information,Business Information,"Are the answers in this questionnaire for only one facility or geographic location? If yes, provide description of physical location (address, city, state, country). ","Yes.  Prognos HQ - 85 Broad Street, 18th Floor, New York, NY 10004",,,
SIG Lite,Business Information,Business Information,Backup site physical address,We rely on AWS S3 built in redundency,,,
SIG Lite,Business Information,Business Information,Any additional locations where Scoped Systems and Data is stored,No,,,
SIG Lite,Business Information,Business Information,"If yes, provide each location (address, city, state, country).",N/A,,,
SIG Lite,Business Information,Business Information,"Are the answers to this questionnaire for only one specific type of service? If yes, describe the service.",The answers cover the full suite of payer PHI analytics and reporting offered by Prognos,,,
SIG Lite,Business Information,Business Information,Are software applications provided?,No,,,
SIG Lite,Business Information,Business Information,List the applications provided that are in scope.,DxCloud ,,,
SIG Lite,Business Information,Business Information,Identify the applications which are covered by the secure software development lifecycle.,DxCloud ,,,
SIG Lite,Business Information,Business Information,"What type of software is being provided, select all that apply?",None.,,,
SIG Lite,Business Information,Business Information,Commercial Off-The-Shelf (COTS),No,,,
SIG Lite,Business Information,Business Information,Custom Developed,No,,,
SIG Lite,Business Information,Business Information,Cloud ,No,,,
SIG Lite,Business Information,Business Information,Mobile,No,,,
SIG Lite,Business Information,Business Information,Open Source Software,No,,,
SIG Lite,Business Information,Business Information,Other,No,,,
SIG Lite,Lite,Risk Assessment and Treatment,"Is there a risk assessment program that has been approved by management, communicated to constituents and an owner to maintain and review the program? if yes, does it include:",Yes,,,
SIG Lite,Lite,Risk Assessment and Treatment,Is there a program to manage the treatment of risks identified during assessments?,Yes,,,
SIG Lite,Lite,Risk Assessment and Treatment,A formal process for assigning appropriate management ownership for each risk?,Yes,,,
SIG Lite,Lite,Risk Assessment and Treatment,A formal process for appropriate management knowingly and objectively accepting risks and approving action plans?,Yes,,,
SIG Lite,Lite,Risk Assessment and Treatment,A formal process for tracking the status of action plans and reporting them to management?,Yes,Tracked through the Information Security Commitee meeting minutes,,
SIG Lite,Lite,Risk Assessment and Treatment,Controls identified for each material risk?,Yes,,,
SIG Lite,Lite,Risk Assessment and Treatment,"Measures for defining, monitoring, and reporting risk metrics?",Yes,,,
SIG Lite,Lite,Risk Assessment and Treatment,"Do Subcontractors have access to Scoped Systems and Data? (backup vendors, service providers, equipment support maintenance, software maintenance vendors, data recovery vendors, etc.)? If yes, is there:",No,,,
SIG Lite,Lite,Risk Assessment and Treatment,"A documented vendor management process in place for the selection, oversight and risk assessment of third party vendors? If yes, does it include:",No,Prognos does not allow access to PHI to any vendors except AWS for hosting and ClearData as the overlay of security that sits on AWS.  Both companies have HITRUST certifications and have signed BAAs with Prognos.,,
SIG Lite,Lite,Risk Assessment and Treatment,Approval by management?,N/A,Per SL.9 there is no documented process in place,,
SIG Lite,Lite,Risk Assessment and Treatment,Annual review?,N/A,Per SL.9 there is no documented process in place,,
SIG Lite,Lite,Risk Assessment and Treatment,Required reassessment when service delivery or contract changes?,Yes,,,
SIG Lite,Lite,Risk Assessment and Treatment,Review of the subcontractor's vendor management policy and procedures?,No,,,
SIG Lite,Lite,Risk Assessment and Treatment,"Is there a process to identify and log subcontractor information security, privacy and/or data breach issues?",Yes,,,
SIG Lite,Lite,Risk Assessment and Treatment,Is there a vendor management program?,No,,,
SIG Lite,Lite,Risk Assessment and Treatment,Do external parties have access to Scoped Systems and Data or processing facilities?,Yes,Prognos does not allow access to PHI to any vendors except AWS for hosting and ClearData as the overlay of security that sits on AWS.  Both companies have HITRUST certifications and have signed BAAs with Prognos.,,
SIG Lite,Lite,Risk Assessment and Treatment,"Is the maturity of IT management processes formally evaluated at least annually using an established benchmark (e.g., COBIT maturity models)?",No,,,
SIG Lite,Lite,Risk Assessment and Treatment,"Are there regular privacy risk assessments conducted? If yes, provide frequency and scope. If no, explain reason.",Yes,Risk assessments are performed anually for all systems that access or store PHI as well as ad hoc upon significant changes to infrastructure or development of new products,,
SIG Lite,Lite,Risk Assessment and Treatment,Are identified privacy risks and associated mitigation plans formally documented and reviewed by management?,Yes,,,
SIG Lite,Lite,Risk Assessment and Treatment,Are reasonable resources (in time and money) allocated to mitigating identified privacy risks?,Yes,,,
SIG Lite,Lite,Risk Assessment and Treatment,Is there a compliance risk management system that addresses the quality and accuracy of reported consumer data?,N/A,Prognos does not receive or report on consumer data,,
SIG Lite,Lite,Risk Assessment and Treatment,Is there a compliance risk management system that addresses the quality of assembling and maintaining the data?,Yes,,,
SIG Lite,Lite,Security Policy,"Is there an information security policy that has been approved by management, communicated to appropriate constituents and an owner to maintain and review the policy?",Yes,,,
SIG Lite,Lite,Security Policy,Have the policies been reviewed in the last 12 months?,Yes,,,
SIG Lite,Lite,Organizational Security,Is there a Assessee information security function responsible for security initiatives?,Yes,,,
SIG Lite,Lite, Asset and Information Management,"Is there an asset management policy approved by management, communicated to constituents and an owner to maintain and review?",Yes,,,
SIG Lite,Lite, Asset and Information Management,Is information classified?,Yes,,,
SIG Lite,Lite, Asset and Information Management,"Is there a removable media policy or program (CDs, DVDs, tapes, disk drives) that has been approved by management, communicated to appropriate constituents, and an owner to maintain and review the policy?",Yes,Yes. use of removable media is prohibited both by policy as well as technically.  The use of removable media or program is technically restricted at the OS level for all devices with acess to PHI,,
SIG Lite,Lite, Asset and Information Management,Is Scoped Data sent or received via physical media?,No,,,
SIG Lite,Lite, Asset and Information Management,Are encryption tools managed and maintained for Scoped Data? If yes:,Yes,,,
SIG Lite,Lite, Asset and Information Management,Are clients provided with the ability to generate a unique encryption key?,No,,,
SIG Lite,Lite, Asset and Information Management,Are clients provided with the ability to rotate their encryption key on a scheduled basis?,No,,,
SIG Lite,Lite, Asset and Information Management,Are staff able to access client Scoped Data in an unencrypted state?,No,,,
SIG Lite,Lite, Asset and Information Management,Are staff able to access client's encryption keys?,No,,,
SIG Lite,Lite, Asset and Information Management,Is data segmentation and separation capability between clients provided?,Yes,,,
SIG Lite,Lite, Asset and Information Management,"Does the ability exist to legally demonstrate sufficient data segmentation, in the event of a client subpoena or a forensics incident, so as not to impact other clients data if using resource pooling?",Yes,,,
SIG Lite,Lite, Asset and Information Management,Is there a data classification retention program that identifies the data types that require additional management and governance?,Yes,,,
SIG Lite,Lite, Asset and Information Management,"Is there a self-service portal or API call available to clients which provides the ability to place a ""Legal hold"" on client data which may be subject to a legal action, without impacting other clients data retention or destruction schedules?",No,Clients may contact Prognos legal with official legal hold notices,,
SIG Lite,Lite,Human Resource Security,"Is there a Human Resource policy approved by management, communicated to constituents and an owner to maintain and review? If yes, does it include:",Yes,,,
SIG Lite,Lite,Human Resource Security,Security roles and responsibilities?,Yes,,,
SIG Lite,Lite,Human Resource Security,Background screening?,Yes,,,
SIG Lite,Lite,Human Resource Security,Employment agreements?,Yes,,,
SIG Lite,Lite,Human Resource Security,Security awareness training?,Yes,,,
SIG Lite,Lite,Human Resource Security,Disciplinary process for non-compliance?,Yes,,,
SIG Lite,Lite,Human Resource Security,Termination or change of status process?,Yes,,,
SIG Lite,Lite,Human Resource Security,Are background checks performed for Service Provider Contractors and Subcontractors?,Yes,,,
SIG Lite,Lite,Human Resource Security,Do information security personnel have professional security certifications?,No,,,
SIG Lite,Lite,Physical and Environmental Security,Is there a physical security program?,Yes,,,
SIG Lite,Lite,Physical and Environmental Security,Are physical security and environmental controls in the data center and office buildings?,Yes,"Scoped Data is stored only in the cloud. We leverage AWS and ClearData cloud IaaS platform for virtual instances and they maintain their own physical security poilicies.  While Scoped Data is not stored in our office building, we do maintain physical security policies for the office building",,
SIG Lite,Lite,Physical and Environmental Security,Are visitors permitted in the facility?,No,,,
SIG Lite,Lite,Operations Management,Are management approved operating procedures utilized?,Yes,,,
